ACTA2	MYO1E
ACTA2	MYO1F
ACTA2	MYO5A
ACTA2	MYO5B
ACTA2	MYO5C
ACTA2	MYO6
ACTA2	MYO7A
ACTA2	MYO7B
ACTA2	MYO9A
ACTA2	MYO9B
ACTA2	PALLD
ACTA2	PRKCA
ACTA2	PRKCB
ACTA2	PRKCG
ACTA2	PVRL1
ACTA2	RAC1
ACTA2	RAC2
ACTA2	RAC3
ACTA2	RHOG
ACTA2	RHOJ
ACTA2	RHOQ
ACTA2	SEC24A
ACTA2	SEC24B
ACTA2	SEC24C
ACTA2	SEC24D
ACTA2	TAGLN
ACTA2	TGFB1I1
ACTA2	TMSB4X
ACTA2	TPM2
ACTA2	TTN
ACTB	ACTC1
ACTB	ACTG1
ACTB	ACTL6A
ACTB	ACTN1
ACTB	ACTN2
ACTB	ACTN3
ACTB	ACTN4
ACTB	ACTR1B
ACTB	ADAM17
ACTB	AP2A1
ACTB	AP2A2
ACTB	ARHA
ACTB	ARID1A
ACTB	ARPC1A
ACTB	ARPC1B
ACTB	ARPC2
ACTB	ARPC3
ACTB	ARPC4
ACTB	ARPC5
ACTB	ARPC5L
ACTB	ATF2
ACTB	B2M
ACTB	BAIAP2
ACTB	CAP1
ACTB	CAPZA1
ACTB	CCT1
ACTB	CCT2
ACTB	CCT3
ACTB	CCT4
ACTB	CCT5
ACTB	CCT6A
ACTB	CCT7
ACTB	CCT8
ACTB	CDH1
ACTB	CDH3
ACTB	CFL1
ACTB	CFL2
ACTB	CGNL1
ACTB	CLTA
ACTB	CLTB
ACTB	COL10A1
ACTB	COL11A1
ACTB	COL11A2
ACTB	COL12A1
ACTB	COL13A1
ACTB	COL14A1
ACTB	COL15A1
ACTB	COL16A1
ACTB	COL17A1
ACTB	COL18A1
ACTB	COL19A1
ACTB	COL1A1
ACTB	COL1A2
ACTB	COL20A1
ACTB	COL22A1
ACTB	COL27A1
ACTB	COL2A1
ACTB	COL3A1
ACTB	COL4A1
ACTB	COL4A2
ACTB	COL4A3
ACTB	COL4A4
ACTB	COL4A5
ACTB	COL4A6
ACTB	COL5A1
ACTB	COL5A2
ACTB	COL5A3
ACTB	COL6A1
ACTB	COL6A2
ACTB	COL6A3
ACTB	COL7A1
ACTB	COL8A1
ACTB	COL8A2
ACTB	COL9A1
ACTB	COL9A2
ACTB	COL9A3
ACTB	CORO1A
ACTB	CTNNA1
ACTB	CTNNA2
ACTB	CTNNA3
ACTB	CTNNB1
ACTB	DIAPH1
ACTB	DKFZP666O0110
ACTB	DKFZP686A08248
ACTB	DKFZP686A1668
ACTB	DKFZP686B18150
ACTB	DKFZP686N21130
ACTB	DKFZP686O13149
ACTB	DKFZP779C1668
ACTB	DKFZP781B1340
ACTB	DNASE1
ACTB	DSTN
ACTB	EEF1A1
